capital,state,lga,latitude,longitude
Fufore,Adamawa,Fufore,9.216667,12.65
Bajoga,Gombe,Funakaye,10.8509,11.431353
Funi,Yobe,Fune,11.6678,11.5369
Funtua,Katsina,Funtua,11.523252,7.30813
Gabasawa,Kano,Gabasawa,12.178111,8.913983
Gada,Sokoto,Gada,13.755578,5.66144
Gagarawa,Jigawa,Gagarawa,12.407411,9.527695
Gamawa,Bauchi,Gamawa,12.1343,10.5396
Ganye,Adamawa,Ganaye,8.433333,12.066667
Ganjuwa,Bauchi,Ganjuwa,10.859426,10.168795
Garki,Jigawa,Garki,12.436404,9.188838
Garko,Kano,Garko,11.649175,8.804676
Garum Mallam,Kano,Garum Mallam,11.68382,8.370506
Serti,Taraba,Gashaka,7.5,11.366667
Mutum Biyu,Taraba,Gassol,8.633333,10.766667
Gwadabawa,Sokoto,Gawabawa,13.35612,5.236642
Gaya,Kano,Gaya,11.861365,8.99714
Lemu,Niger,Gbako,9.4,6.033333
Gboko,Benue,Gboko,7.3179,8.9951
Ode,Ekiti,Gboyin,7.645671,5.552041
Geidam,Yobe,Geidam,12.897,11.9304
Gezawa,Kano,Gezawa,12.033889,8.724444
Giade,Bauchi,Giade,11.3928,10.1993
Gombi,Adamawa,Gireri,10.161385,12.739904
Giwa,Kaduna,Giwa,11.3,7.45
Kpor,Rivers,Gokana,4.653792,7.283963
Gombe,Gombe,Gombe,10.28969,11.167288
Goronyo,Sokoto,Goronyo,13.44232,5.676319
Gubio,Borno,Gubio,12.499,12.7848
Balle,Sokoto,Gudu,13.46856,4.678966
Gujba,Yobe,Gujba,11.5032,11.9367
Gulani,Yobe,Gulani,10.723884,11.689731
Gbajimba,Benue,Guma,7.8155,8.8604
Gumel,Jigawa,Gumel,12.627906,9.391187
Gummi,Zamfara,Gummi,12.143575,5.108087
Guri,Jigawa,Guri,12.7267,10.4205
Gusau,Zamfara,Gusau,12.162784,6.661348
Guyuk,Adamawa,Guyuk,9.9,11.983333
Gudumbali,Borno,Guzamala,12.944032,13.184013
Gwagwalada,Federal Capital Territory,Gwagwalada,8.941389,7.091944
Gwandu,Kebbi,Gwandu,12.493818,4.642272
Gwaram,Jigawa,Gwaram,11.276389,9.885833
Gwarzo,Kano,Gwarzo,11.915214,7.934604
Aliade,Benue,Gwer East,7.2964,8.487
Naka,Benue,Gwer West,7.5887,8.2087
Gwiwa,Jigawa,Gwiwa,12.779959,8.337915
Gwoza,Borno,Gwoza,11.103593,13.712983
Azare,Borno,Hawul,10.441423,12.119313
Hong,Adamawa,Hong,10.231705,12.930419
"Ofu, River",Kogi,Ibaji,6.791359,6.941511
Igbo Ora,Oyo,Ibarapa Central,7.433333,3.283333
Eruwa,Oyo,Ibarapa East,7.533333,3.416667
Aiyete,Oyo,Ibarapa North,7.55,3.216667
Ibeju,Lagos,Ibeju/Lekki,6.48701,3.892813
Ibeno,Akwa lbom,Ibeno,4.568681,7.978594
Afaha Ibesikpo,Akwa lbom,Ibesikpo Asutan,4.971107,7.935654
Ibi,Taraba,Ibi,8.183333,9.75
Oko Ita,Akwa lbom,Ibiono Ibom,5.191052,7.896189
Idah,Kogi,Idah,7.106508,6.73415
Owena,Ondo,Idanre,7.195371,5.021736
Urualla,Imo,Ideato North,5.853128,7.099294
Dikenafai,Imo,Ideato South,5.767071,7.153128
Uke,Anambra,Idemili North,6.104633,6.920235
Umuoji,Anambra,Idemili South,6.1003525,6.8961751
Osi Ekiti,Ekiti,Idosi-Osi,7.788256,5.158324
Ifako,Lagos,Ifako-Ijaye,6.643944,3.326431
Ile-Ife,Osun,Ife Central,7.47664,4.56023
Ipetumodu,Osun,Ife North,7.516667,4.45
Ifetedo,Osun,Ife South,7.183333,4.7
Oke-Ogbo,Osun,Ife East,,
Oke Ila,Osun,Ifedayo,7.95,4.983333
Igbara-Oke,Ondo,Ifedore,7.410936,5.061502
Ikirun,Osun,Ifelodun,7.916667,4.666667
Share,Kwara,Ifelodun,8.816667,4.983333
Ifo,Ogun,Ifo,6.814367,3.195753
Igabi,Kaduna,Igabi,10.788873,7.774931
Ajaka,Kogi,Igalamela-Odolu,7.1711,6.8265
Ogbede,Enugu,Igbo-Etiti,6.6703,7.3687
Enugu-Ezike,Enugu,Igbo-Eze North,6.9825,7.457
Ibegwa-Aka,Enugu,Igbo-Eze South,6.916667,7.4
Igueben,Edo,Igueben,6.60096,6.241665
Ihiala,Anambra,Ihiala,5.853769,6.860265
Ogbere,Ogun,Ijebu East,6.737858,4.16045
Ijebu-Igbo,Ogun,Ijebu North,6.979803,4.003292
Atan,Ogun,Ijebu North East,6.8906413,4.0045918
Ijebu-Ode,Ogun,Ijebu ode,6.816093,3.915877
Ijero-Ekiti,Ekiti,Ijero,7.8139,5.0742
Urua Inyang,Akwa lbom,Ika,5.022022,7.536602
Owa Oyiebu,Delta,Ika North East,6.180779,6.201218
Agbor,Delta,Ika South,6.266193,6.150523
Ikara,Kaduna,Ikara,11.177521,8.226696
Ihuo,Imo,Ikeduru,5.566667,7.1
Ikeja,Lagos,Ikeja,6.594222,3.337475
Ikenne,Ogun,Ikenne,6.865789,3.715179
Ikere-Ekiti,Ekiti,Ikere,7.491328,5.232248
Ikole,Ekiti,Ikole,7.7897,5.5106
Ikom,Cross River,Ikom,5.961,8.7107
Ikon I,Akwa lbom,Ikono,5.30445,7.748283
