longitude,latitude,objectid,featurenam,population
-0.809444,13.64056,9124,Pensa,"36,324"
-3.35,10.23333,472,Perigban,"8,319"
-0.816667,12.9,6926,Pibaore,"28,574"
-0.1325,12.71028,6251,Piela,"55,672"
-2.2603511,12.7070811,6272,Pilimpikou,"17,306"
-0.8225,13.16417,7798,Pissila,"100,353"
-1.145,11.16972,1834,Po,"50,360"
-2.1,12.21667,4341,Poa,"30,317"
-1.765556,13.89972,9523,Pobe Mengao,"23,691"
-3.233333,11.86667,3051,Pompoi,"11,060"
-2.55,11.96667,3296,Pouni,"38,666"
-2.75,11.61667,2528,Poura,"12,075"
-0.426944,12.2525,4554,Pouytenga,"72,217"
-1.826111,13.24028,8047,Rambo,"34,020"
-2.233333,12.21667,4339,Ramongo,"23,081"
-2.466667,12.31667,4788,Reo,"59,779"
-1.705833,13.59944,9035,Rollo,"26,722"
-1.635954,13.21031,7949,Rouko,"13,651"
-1.420833,12.37694,5031,Saaba,"50,532"
-1.521667,13.19778,7910,Sabce,"23,668"
-2.233333,12.06667,3687,Sabou,"45,877"
-3.216667,12.13333,3994,Safane,"49,483"
-0.616667,12.44361,5294,Salogo,"21,405"
-2.383333,12.66667,6091,Samba,"35,705"
,,9998,Sami,"8,684"
-5.116667,10.93333,1415,Samogohiry,"6,264"
-4.938822,11.39249,2210,Samorogouan,"35,953"
0.219846,13.75028,9330,Sampelga,"19,258"
-3.816667,12.41667,5165,Sanaba,"34,166"
0.159444,11.18056,1849,Sangha,"46,461"
-1.603611,12.05278,3640,Sapone,"38,958"
-1.773611,11.55444,2448,Sapouy,"54,618"
-4.034544,11.43382,2280,Satiri,"37,369"
0.530443,13.43641,8650,Sebba,"31,983"
-1.966944,13.44167,8665,Seguenega,"61,730"
0.309556,13.97196,9611,Seytenga,"31,422"
-2.966667,11.85,3010,Siby,"14,143"
-4.25,10.66667,1137,Sideradougou,"76,540"
-1.886944,12.55722,5684,Sigle,"27,336"
-2.5,11.6,2510,Silly,"33,350"
-5.166667,10.66667,1131,Sindou,"17,073"
-5.1898,11.5464,2424,Sindou,"18,484"
-2.166667,12.51667,5554,Soa,"15,937"
-2.1023,14.1374,9919,Sole,"118,424"
-4.0794,12.1768,4186,Solenzo,"25,512"
0.453521,13.38238,8491,Solhan,"17,622"
-3.483333,12.83333,6696,Sono,"7,276"
-5.0043269,10.4748239,10,Soubakaniédougou,"27,945"
0.323611,11.20167,1911,Soudougui,"49,310"
-2.283333,12.13333,4005,Sourgou,"13,748"
-1.8067626,12.4146929,9,Sourgoubila,"38,976"
1.741667,11.79583,2880,Tambaga,"41,137"
-2.546886,13.54008,8912,Tangaye,"32,623"
-1.715278,12.26944,4626,Tanghin-Dassouri,"55,094"
0.735749,13.56203,8963,Tankougounadie,"16,486"
1.866944,11.87528,3078,Tansarga,"35,535"
-4.3852,12.419,5205,Tansila,"30,660"
-3.083333,12.26667,4573,Tcheriba,"39,778"
-2.6,12.2,4265,Tenado,"46,203"
-0.369722,11.78,2848,Tenkodogo,"124,053"
-0.266667,12,3388,Tensobentenga,"20,719"
-0.314955,13.06475,7460,Thion,"23,038"
-2.663727,13.80632,9420,Thiou,"48,047"
-2.197864,11.95316,8,Thyou,"24,251"
-3.266667,10.76667,1266,Tiankoura,"12,967"
0.0575,12.16917,4179,Tibga,"29,100"
-0.965556,11.09722,1657,Tiebele,"54,104"
-4.5466967,10.6304623,7,Tiefora,"42,494"
-1.726111,13.29139,8230,Tikare,"37,702"
-0.1609,14.967,10602,Tin Akoff,"20,827"
0.432355,13.77274,9370,Titabe,"19,910"
-2.068207,13.76382,9356,Titao,"66,379"
-2.233333,11.45,2291,To,"47,666"
-1.266389,11.83,2956,Toece,"33,235"
-1.726389,12.81611,6634,Toeghin,"16,421"
-3.1816,13.4368,8653,Toeni,"30,183"
-2.883333,12.76667,6452,Toma,"29,003"
-1.4817,14.0671,9799,Tongomayel,"70,665"
-3.0694,13.0725,7493,Tougan,"66,706"
-2.120369,13.20136,7922,Tougo,"30,970"
-0.5225,13.31639,8298,Tougouri,"76,345"
-4.616667,10.83333,1313,Toussiana,"17,255"
-4.9773236,10.6710241,6,Wolonkoto,"3,753"
-2.866667,12.86667,6796,Yaba,"31,579"
-3.55,11.8,2885,Yaho,"16,424"
-2.266667,12.96667,7114,Yako,"79,408"
-0.266667,13.58333,8999,Yalgo,"31,889"
0.336667,12.29778,4699,Yamba,"27,087"
0.005278,11.2125,1918,Yargatenga,"41,009"
-0.283333,12.06667,3709,Yargo,"14,608"
-3.116667,12.6,5807,Ye,"35,718"
-3.4,10.73333,1220,Yolonioro,"20,677"
0.146667,11.49472,2353,Yonde,"25,741"
-0.632222,11.1825,1853,Zabre,"84,728"
-0.832222,12.34222,4907,Zam,"39,582"
-3,10.81667,1305,Zambo,"18,207"
-2.716667,12.01667,3429,Zamo,"16,424"
-2.583333,11.78333,2858,Zawara,"21,869"
-0.85,11.03333,1543,Zecco,"9,340"
-0.455278,12.95722,7104,Zeguedeguin,"22,040"
-0.8316896,12.6188582,5,Ziga,"34,108"
,,9999,Zimtenga,"23,660"
-1.298333,12.58222,5741,Ziniare,"62,026"
-0.779167,11.03611,1547,Ziou,"21,926"
-1.310278,12.74917,6392,Zitenga,"41,617"
-0.590278,11.03806,1550,Zoaga,"10,892"
-2.592442,13.40169,8544,Zogore,"18,305"
-0.615,11.37,2181,Zonse,"19,993"
-0.615833,12.24889,4486,Zorgho,"46,898"
-0.533333,12.15,4102,Zoungou,"29,674"
